topic,token_count,token_diff_from_mean,word-length,uniform_dist,corpus_dist,rank_1_docs,eff_num_words,exclusivity,coherence,top_n_terms
0,7872199,2305502.522,6.8,8.042230209,1.926148737,0.81114323,183.1079662,0.579567259,-3.91334728,"coronavirus, covid, vaccine, drug, patients, treatment, research, pets, gates, animals"
1,9327596,850105.5217,6.85,8.427393477,1.961346307,0.766906711,109.9189486,0.452654996,-2.241531853,"school, students, schools, coronavirus, university, education, learning, march, student, closed"
2,16349796,6172094.478,6.45,7.968466386,1.52132824,0.795241269,104.0970304,0.366442253,-1.950101988,"trump, president, coronavirus, donald, white, house, pandemic, response, news, trumps"
3,11331661,1153959.478,6.6,7.873076387,1.951395214,0.856475546,185.3576683,0.508498299,-3.077780853,"coronavirus, due, season, postponed, pandemic, events, sports, league, cancelled, canceled"
4,11328906,1151204.478,6.7,9.375265031,1.86562155,0.700471003,60.79787532,0.338881254,-2.188813043,"positive, coronavirus, tested, testing, test, covid, tests, health, case, hospital"
5,9789684,388017.5217,6.75,8.122534398,1.751685513,0.822053346,211.8961142,0.452965187,-2.363445982,"coronavirus, bill, house, senate, package, relief, stimulus, congress, trump, billion"
6,20605255,10427553.48,6.05,6.583544456,1.055108943,0.767953752,1086.300747,0.091958078,-1.958439159,"people, government, crisis, world, pandemic, time, coronavirus, political, country, public"
7,13497718,3320016.478,7.1,7.880421228,1.413077857,0.769294363,262.7384487,0.217841909,-2.844415632,"support, coronavirus, community, people, covid, local, food, council, fund, vulnerable"
8,10685196,507494.4783,7.15,8.87471262,1.961907285,0.734702618,58.68770972,0.204542175,-1.809851101,"county, health, covid, cases, coronavirus, department, case, confirmed, public, state"
9,6670678,3507023.522,6.65,7.522310184,1.911497264,0.729130304,263.7643334,0.307650381,-2.89837156,"coronavirus, italy, countries, iran, country, world, italian, spain, lockdown, europe"
10,10777585,599883.4783,7.15,8.786715615,1.837657374,0.759033012,140.070325,0.270634578,-2.287479246,"coronavirus, order, state, governor, gov, spread, businesses, closed, close, stay"
11,6870179,3307522.522,6.95,7.412854877,2.425645779,0.773874182,74.03432011,0.325201931,-2.508102028,"covid, photos, timeline, stay, coronavirus, home, safe, stayhome, post, staysafe"
12,11806522,1628820.478,6.7,8.630380863,1.687008472,0.76445554,110.9812972,0.352384602,-2.295944301,"workers, care, health, coronavirus, hospital, patients, covid, medical, healthcare, doctors"
13,15952439,5774737.478,6.85,8.139373593,1.161633412,0.769092547,208.4519258,0.106423086,-2.141823058,"coronavirus, spread, people, social, virus, pandemic, distancing, health, lockdown, states"
14,8003782,2173919.522,5.9,8.550838402,2.177138685,0.621740886,100.0675398,0.416702786,-2.994597243,"city, coronavirus, york, florida, state, residents, mayor, cuomo, nursing, home"
15,8262298,1915403.522,7.25,7.964049411,1.988913604,0.768556939,232.9077628,0.441051675,-3.374451758,"coronavirus, travel, cruise, flights, covid, international, passengers, ship, countries, airport"
16,12744772,2567070.478,6.45,7.552560048,1.581057731,0.819510031,348.339782,0.287380616,-2.698875804,"coronavirus, pandemic, economy, market, economic, oil, global, industry, crisis, impact"
17,9500265,677436.5217,5.85,8.103744399,1.543206121,0.792820211,177.154553,0.202289658,-2.119311612,"coronavirus, home, kids, social, children, time, stay, free, distancing, pandemic"
18,5645289,4532412.522,6.05,8.148874108,2.128234691,0.754996845,178.3670816,0.252037316,-2.524810668,"coronavirus, video, media, facebook, share, social, covid, news, people, twitter"
19,14886519,4708817.478,4.75,7.894087909,1.343808646,0.75823181,253.4522534,0.240417554,-1.983674828,"people, coronavirus, don't, it's, virus, time, home, dont, stay, things"
20,14870120,4692418.478,5.9,9.868835096,1.904823121,0.819143096,39.69860652,0.301622986,-2.228376764,"cases, coronavirus, deaths, covid, confirmed, number, death, total, reported, toll"
21,3127753,7049948.522,5.35,6.909514208,4.101436585,0.711846502,183.6003858,0.703105313,-3.098692513,"san, los, angeles, county, las, santa, coronavirus, diego, francisco, covid"
22,11752627,1574925.478,5.65,8.650479805,1.774330599,0.769903838,181.3615345,0.334443815,-2.078498837,"hands, coronavirus, covid, wash, home, spread, stay, people, water, avoid"
23,20032266,9854564.478,6.45,7.939354067,1.158712027,0.806908076,392.5587364,0.120076721,-2.141108507,"health, continue, staff, time, covid, community, safety, march, safe, situation"
24,4633201,5544500.522,6.4,6.45840288,2.6267671,0.792785778,780.5911067,0.399006849,-3.052014303,"covid, immune, system, malaysia, vitamin, coronavirus, body, products, disinfectant, virus"
25,8883778,1293923.522,6.75,8.017385678,1.796388536,0.764686987,119.065895,0.311096069,-1.91327832,"china, coronavirus, chinese, wuhan, world, virus, outbreak, pandemic, covid, health"
26,5786624,4391077.522,7.15,7.52314703,2.480291922,0.658697301,219.6394189,0.476582319,-2.926979889,"covid, coronavirus, minister, south, africa, australia, prime, health, government, canada"
27,6943846,3233855.522,5.8,7.74695738,1.78835753,0.811620666,367.5662834,0.345170086,-3.104359189,"coronavirus, covid, app, home, free, online, money, phone, scams, information"
28,10829698,651996.4783,5.6,7.20150741,1.479837046,0.791690774,465.627234,0.243323012,-2.606811594,"covid, online, business, join, free, time, virtual, webinar, coronavirus, zoom"
29,12369612,2191910.478,7.15,9.064090792,1.490420593,0.770883376,72.24422859,0.221780822,-2.347906372,"covid, coronavirus, information, health, disease, questions, resources, website, public, cdc"
30,7361344,2816357.522,6.35,7.534042531,1.813365234,0.781503488,219.1764468,0.295267898,-2.778929724,"police, coronavirus, people, lockdown, man, officers, arrested, home, social, covid"
31,12752052,2574350.478,5.15,7.535450106,1.823133764,0.821039106,316.0103858,0.550034943,-1.932878761,"god, church, coronavirus, jesus, pray, prayer, lord, world, time, christ"
32,16264994,6087292.478,4.85,6.800317247,1.220805398,0.785546471,815.1441764,0.097442649,-2.290108343,"time, day, coronavirus, home, love, family, back, post, good, life"
33,8148393,2029308.522,5.9,9.480709093,2.057775905,0.769433414,53.29125076,0.322140752,-2.905979588,"coronavirus, live, news, update, covid, latest, updates, watch, press, briefing"
34,6944026,3233675.522,6.85,7.799000159,1.961984359,0.795920607,317.8515106,0.58266333,-3.538667809,"coronavirus, court, election, state, pandemic, inmates, prison, ohio, release, primary"
35,9498080,679621.5217,6,6.929316704,1.889335896,0.728641697,356.6004265,0.274983493,-3.146788444,"coronavirus, covid, pandemic, director, episode, podcast, show, questions, talk, news"
36,9098807,1078894.522,6.75,7.403541008,1.874758284,0.779460887,274.6204161,0.296027968,-2.518751073,"food, coronavirus, delivery, local, restaurants, restaurant, free, order, pandemic, meals"
37,10922598,744896.4783,6.4,7.845363326,1.680210043,0.798969375,276.0002543,0.265608769,-2.580445619,"coronavirus, virus, covid, symptoms, people, flu, disease, patients, risk, respiratory"
38,7864272,2313429.522,6.85,7.382678969,1.95663408,0.82598439,260.0580549,0.460856541,-2.917127792,"state, nigeria, covid, coronavirus, lagos, government, nigerian, governor, nigerians, buhari"
39,9223113,954588.5217,6.55,7.74540275,1.680428293,0.791809649,330.4582886,0.272973674,-2.933226594,"coronavirus, stores, store, closed, open, park, grocery, parks, service, customers"
40,9102448,1075253.522,5.75,8.334485319,1.917458073,0.829967218,120.2798879,0.400283653,-3.509125798,"coronavirus, died, covid, positive, year-old, hospital, johnson, tested, family, boris"
41,9432535,745166.5217,5.1,6.942804504,1.862995424,0.812148905,417.7412798,0.350259446,-3.331670377,"coronavirus, music, live, song, pandemic, show, covid, artists, world, concert"
42,9666099,511602.5217,6.1,6.880458104,2.424596391,0.756004056,307.1348067,0.453223348,-3.085899116,"india, covid, coronavirus, lockdown, minister, delhi, indian, kashmir, government, modi"
43,9395543,782158.5217,6.8,7.909156044,1.477164908,0.784405656,230.9315171,0.298306944,-2.918860137,"coronavirus, health, covid, pandemic, people, mental, women, anxiety, crisis, support"
44,18237237,8059535.478,6.75,7.773278985,1.127048265,0.709529586,397.2716171,0.102655677,-2.217542209,"health, public, emergency, government, covid, state, services, measures, national, response"
45,5495995,4681706.522,6.4,6.597005722,2.059457859,0.791681502,670.0543495,0.416052042,-3.579817931,"coronavirus, world, earth, climate, israel, time, air, change, pollution, animals"
