topic,token_count,token_diff_from_mean,word-length,uniform_dist,corpus_dist,eff_num_words,rank_1_docs,exclusivity,coherence,top_n_terms
0,1322510,1457787.644,6.3,6.889917245,2.343306224,126.9265972,0.800777454,0.556459545,-4.313408245,"coronavirus, covid, travel, japan, airlines, aviation, uae, flights, tourism, amp"
1,749839,2030458.644,6.6,8.155043968,3.408515425,81.46637749,0.784936049,0.650400106,-6.341312983,"covid, coronavirus, join, bitcoin, contest, ecoins, crypto, free, earn, contestalert"
2,1972407,807890.6444,6.3,6.823867365,1.863143869,128.9292079,0.804645918,0.235124685,-3.905509803,"covid, support, food, amp, coronavirus, community, donate, ireland, local, people"
3,10062309,7282011.356,6.8,6.630373581,0.708722988,140.6262997,0.766617969,0.059785346,-3.272174781,"coronavirus, covid, health, pandemic, news, lockdown, outbreak, amp, virus, government"
4,1522195,1258102.644,7.4,6.574626271,2.564009634,115.8244669,0.83569807,0.379353541,-7.625408312,"covid, coronavirus, follow, stayhome, bts, bbb, highriskcovid, day, mondaythoughts, survival"
5,460236,2320061.644,6.8,10.97606174,4.581100621,14.98881014,0.685449358,0.762979639,-1.719602323,"economy, people, urge, coronavirus, million, debt, package, needed, student, stimulate"
6,1021177,1759120.644,6.9,8.073440806,2.76389412,68.06755277,0.751427089,0.421238524,-4.203992874,"usa, covid, coronavirus, america, project, trump, amp, tuesdaythoughts, topics, amazing"
7,2075409,704888.6444,5.7,6.976071351,2.046451898,170.368603,0.791992321,0.401589566,-4.12543474,"coronavirus, iran, covid, amp, yemen, israel, russia, people, health, syria"
8,1126520,1653777.644,6.8,7.747559498,2.570725983,84.49144011,0.758278542,0.435165105,-3.324526736,"covid, workfromhome, home, quarantinelife, make, coronavirus, extra, online, wfh, work"
9,2034634,745663.6444,5.5,6.750861135,2.004855594,160.2385928,0.827591992,0.475268938,-4.243934169,"covid, coronavirus, easter, god, hope, jesus, love, ramadan, prayer, pray"
10,798278,1982019.644,7.7,8.030948814,3.649021208,116.7919508,0.760469754,0.615417117,-2.885251247,"coronavirus, redbubble, covid, art, findyourthing, support, products, awesome, printed, rbandme"
11,3396197,615899.3556,7.3,7.329600097,1.504637509,73.52096627,0.80667996,0.542179999,-3.274337705,"china, coronavirus, covid, wuhan, chinesevirus, wuhanvirus, chinese, chinavirus, world, ccp"
12,1218041,1562256.644,6.7,7.276022134,2.772657016,157.952573,0.756136821,0.376674943,-4.092882163,"covid, coronavirus, u.s, education, students, school, trump, kids, pandemic, learning"
13,1076439,1703858.644,7.3,7.633653714,2.454078519,68.36118979,0.751947817,0.497837637,-4.924394662,"covid, coronavirus, australia, auspol, government, alert, world, australian, community, aus"
14,767263,2013034.644,5,6.720364929,3.071477898,170.5367668,0.782583113,0.578681534,-4.149309357,"covid, coronavirus, dogs, cats, amp, animals, dog, pets, cat, animal"
15,1517618,1262679.644,7.6,6.534836756,2.664540522,129.974893,0.856350749,0.396018163,-4.484200299,"covid, coronavirus, art, design, artist, corona, pandemic, drawing, quedateencasa, confinement"
16,1234907,1545390.644,6.9,6.977702929,2.268393444,140.6672047,0.821665623,0.507160505,-4.294708537,"covid, pakistan, coronavirus, kashmir, cases, amp, karachi, positive, lahore, islamabad"
17,2794867,14569.35556,7,6.905152284,1.523689213,95.1855732,0.798507915,0.238590346,-3.943171161,"pandemic, covid, coronavirus, amp, world, global, earthday, climatechange, crisis, virus"
18,1311827,1468470.644,5.7,7.455056017,2.576305149,64.03427578,0.830532329,0.432785324,-3.806486651,"covid, coronavirus, memes, italia, italy, tiktok, funny, corona, news, meme"
